Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Metro Bar,Bar Food,3.9,750.0,2.7,"Hotel Metro, Civil Lines, Agra","Peaceful Ambience, Trendy Setting, Attentive Service","Bar Food Peaceful Ambience, Trendy Setting, Attentive Service"
Chota Mama Chicken & Mama Veg,"North Indian, Chinese, Rolls, Biryani, Mughlai",3.2,250.0,7.0,"Sikandra, Agra","Great for Dates, Sophisticated, Ambiance","North Indian, Chinese, Rolls, Biryani, Mughlai Great for Dates, Sophisticated, Ambiance"
New Pari Family Restaurant,North Indian,2.5,150.0,7.6,"Sikandra, Agra","Variety of Beer, Local Sourcing, Ambiance","North Indian Variety of Beer, Local Sourcing, Ambiance"
Satkar Pastries,"Pizza, Desserts, Fast Food",3.8,200.0,2.4,"Civil Lines, Agra","Ambience, Flavorful Creations, Comfortable Seating","Pizza, Desserts, Fast Food Ambience, Flavorful Creations, Comfortable Seating"
Labbaik Chicken Corner,"North Indian, Mughlai",3.8,300.0,1.8,"Mantola, Agra","Brewed Beer, Warm Atmosphere, Customizable Dishes","North Indian, Mughlai Brewed Beer, Warm Atmosphere, Customizable Dishes"
Qaisar Bagh Restaurant,"North Indian, Mughlai, Chinese, Continental, Fast Food",4.0,700.0,2.2,"Tajganj, Agra","Consistent Quality, Main Course, Creative Cuisine","North Indian, Mughlai, Chinese, Continental, Fast Food Consistent Quality, Main Course, Creative Cuisine"
Hunger Point Cafe And Restaurant,"North Indian, Sandwich, Pizza, Burger, Rolls, Fast Food, Street Food, Beverages",4.0,150.0,3.5,"Tajganj, Agra","Great for Dates, Courteous Staff, Hospitality","North Indian, Sandwich, Pizza, Burger, Rolls, Fast Food, Street Food, Beverages Great for Dates, Courteous Staff, Hospitality"
The Chef's Club,"North Indian, South Indian, Mughlai, Chinese, Continental, Fast Food, Desserts, Beverages",3.8,550.0,4.3,"Tajganj, Agra","Breakfast, Friendly Staff, Brewed Beer","North Indian, South Indian, Mughlai, Chinese, Continental, Fast Food, Desserts, Beverages Breakfast, Friendly Staff, Brewed Beer"
Cake & More,"Shake, Fast Food, Beverages, Pizza, Desserts",3.9,200.0,3.9,"Kamla Nagar, Agra","Extensive Mocktail Menu, Customizable Dishes, Warm Atmosphere","Shake, Fast Food, Beverages, Pizza, Desserts Extensive Mocktail Menu, Customizable Dishes, Warm Atmosphere"
Nijam Khan Chicken Biryani Shop,Biryani,3.5,100.0,5.3,"Agra Cantt, Agra","Ambiance, Creative Cuisine, Attentive Service","Biryani Ambiance, Creative Cuisine, Attentive Service"
The Tea Lounge - Jaypee Palace Hotel,Tea,3.8,650.0,4.2,"Jaypee Palace Hotel, Tajganj, Agra","Hospitable Staff, Trendy Setting, Well-priced Options","Tea Hospitable Staff, Trendy Setting, Well-priced Options"
Ekaa Villa,North Indian,4.3,350.0,4.3,"Tajganj, Agra","Efficient Service, Peaceful Ambience, Good Music","North Indian Efficient Service, Peaceful Ambience, Good Music"
Bhagwati Dhaba,North Indian,4.0,100.0,9.7,"Sikandra, Agra","Consistent Quality, Cafe, Extensive Mocktail Menu","North Indian Consistent Quality, Cafe, Extensive Mocktail Menu"
Deviram Royal Restaurant,"North Indian, Chinese, Fast Food, Beverages, Continental",3.7,200.0,1.8,"Rakabganj, Agra","Impeccable Presentation, Trendy Setting, Attentive Service","North Indian, Chinese, Fast Food, Beverages, Continental Impeccable Presentation, Trendy Setting, Attentive Service"
Sher-E-Punjab Dhaba,"North Indian, Beverages, Street Food",4.1,150.0,4.0,"Tajganj, Agra","Innovative Dishes, Good Music, Diverse Menu","North Indian, Beverages, Street Food Innovative Dishes, Good Music, Diverse Menu"
Giani Ice Cream,"Desserts, Ice Cream",4.8,150.0,2.5,"Agra Cantt, Agra","Brewed Beer, Peaceful Ambience, Trendy Setting","Desserts, Ice Cream Brewed Beer, Peaceful Ambience, Trendy Setting"
Yadav Dhaba Purana,North Indian,3.9,150.0,2.7,"Civil Lines, Agra","Brewed Beer, Well-priced Options, Hospitable Staff","North Indian Brewed Beer, Well-priced Options, Hospitable Staff"
Navratan Fast Food & Restaurant,"North Indian, South Indian, Fast Food, Shake, Street Food, Beverages",4.1,250.0,4.0,"Khandari, Agra","Hospitality, Diverse Menu, Weekend Brunch","North Indian, South Indian, Fast Food, Shake, Street Food, Beverages Hospitality, Diverse Menu, Weekend Brunch"
Anjali's Kitchen,"North Indian, Chinese, Fast Food",3.6,150.0,8.4,"Sikandra, Agra","Efficient Service, Quantity, Trendy Setting","North Indian, Chinese, Fast Food Efficient Service, Quantity, Trendy Setting"
Flavours Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts",4.2,500.0,2.6,"Civil Lines, Agra","Staff, Attentive Service, Courteous Staff","North Indian, Chinese, Fast Food, South Indian, Desserts Staff, Attentive Service, Courteous Staff"
Brijwasi Sweet House & Restaurant,"North Indian, Chinese, South Indian, Desserts, Mithai, Beverages",3.7,250.0,2.5,"Agra Cantt, Agra","Main Course, Delicious Food, Good Bartenders","North Indian, Chinese, South Indian, Desserts, Mithai, Beverages Main Course, Delicious Food, Good Bartenders"
First Chai,"Tea, Street Food, Fast Food, Shake",4.0,200.0,7.7,"Sikandra, Agra","Efficient Service, Hospitality, Friendly Staff","Tea, Street Food, Fast Food, Shake Efficient Service, Hospitality, Friendly Staff"
Parinda Sky Disc And Lounge,"North Indian, Mughlai, Chinese, Fast Food",3.9,750.0,5.9,"Khandari, Agra","Perfect Place, Extensive Mocktail Menu, Great Service","North Indian, Mughlai, Chinese, Fast Food Perfect Place, Extensive Mocktail Menu, Great Service"
Laziz Pizza,"Pizza, Burger, Fast Food",3.6,175.0,3.3,"Civil Lines, Agra","Trendy Setting, Brewed Beer, Courteous Staff","Pizza, Burger, Fast Food Trendy Setting, Brewed Beer, Courteous Staff"
Pizza Star - The Italian Food Corner,"Pizza, Fast Food",3.8,200.0,6.5,"Shahganj, Agra","Exquisite Taste, Vintage Decor, Customizable Dishes","Pizza, Fast Food Exquisite Taste, Vintage Decor, Customizable Dishes"
Pizza Pasta Day,"Pizza, Pasta, Fast Food, Beverages",3.8,150.0,3.8,"Tajganj, Agra","Satisfying Portions, Warm Atmosphere, Creative Cuisine","Pizza, Pasta, Fast Food, Beverages Satisfying Portions, Warm Atmosphere, Creative Cuisine"
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",3.6,200.0,4.0,"Khandari, Agra","Extensive Mocktail Menu, Local Sourcing, Main Course","Ice Cream, Desserts, Beverages Extensive Mocktail Menu, Local Sourcing, Main Course"
Sathvik Padukone South Indian Dosa Corner,South Indian,3.7,100.0,3.2,"Agra Cantt, Agra","Young Crowd, Breakfast, Ambiance","South Indian Young Crowd, Breakfast, Ambiance"
Panchhi Petha Namkeen,"Mithai, Desserts",3.9,100.0,8.7,"Tajganj, Agra","Live Sports Screening, Authentic Flavors, Impeccable Presentation","Mithai, Desserts Live Sports Screening, Authentic Flavors, Impeccable Presentation"
The Briston Kitchen,"North Indian, Fast Food, Chinese, Momos",3.9,300.0,3.5,"Tajganj, Agra","Inviting Decor, Cozy Ambiance, Vintage Decor","North Indian, Fast Food, Chinese, Momos Inviting Decor, Cozy Ambiance, Vintage Decor"
Hotel Poonam Plaza,"North Indian, Chinese",4.0,600.0,4.1,"Dayal Bagh, Agra","Innovative Dishes, Sophisticated, Clean Environment","North Indian, Chinese Innovative Dishes, Sophisticated, Clean Environment"
EATCO.,"North Indian, Fast Food, Mughlai, Rolls, Shawarma",3.6,175.0,3.7,"Khandari, Agra","Flavorful Creations, Brewed Beer, Young Crowd","North Indian, Fast Food, Mughlai, Rolls, Shawarma Flavorful Creations, Brewed Beer, Young Crowd"
Nandani Red Crystal Restaurant,"South Indian, North Indian, Chinese, Continental, Fast Food, Street Food, Beverages",4.1,225.0,9.8,"Sikandra, Agra","Inviting Decor, Flavorful Creations, Hospitality","South Indian, North Indian, Chinese, Continental, Fast Food, Street Food, Beverages Inviting Decor, Flavorful Creations, Hospitality"
Goverdhan Bakery,"Bakery, Fast Food, Desserts",4.4,200.0,3.1,"Shahganj, Agra","Consistent Quality, Efficient Service, Cozy Ambiance","Bakery, Fast Food, Desserts Consistent Quality, Efficient Service, Cozy Ambiance"
Savoury Street Food,"South Indian, North Indian, Chinese, Shake",3.8,175.0,4.2,"Shahganj, Agra","Cafe, Ambience, Attentive Service","South Indian, North Indian, Chinese, Shake Cafe, Ambience, Attentive Service"
Chizza & Pizza,"Pizza, Burger, Sandwich, Rolls, Pasta, Fast Food",3.9,250.0,3.3,"Tajganj, Agra","Flavorful Creations, Comfortable Seating, Weekend Brunch","Pizza, Burger, Sandwich, Rolls, Pasta, Fast Food Flavorful Creations, Comfortable Seating, Weekend Brunch"
Ichchha Veg Biryani & Fast Food,Biryani,3.9,50.0,5.7,"Lohamandi, Agra","Efficient Service, Comfortable Seating, Impeccable Presentation","Biryani Efficient Service, Comfortable Seating, Impeccable Presentation"
The Masterchef Restaurant,"Street Food, Fast Food, Italian",3.7,350.0,2.5,"Tajganj, Agra","Customizable Dishes, Quantity, Hospitable Staff","Street Food, Fast Food, Italian Customizable Dishes, Quantity, Hospitable Staff"
Al Barkat Family Restaurant,"North Indian, Rolls, Chinese",3.374251,350.0,3.5,"Tajganj, Agra","Great for Dates, Consistent Quality, Authentic Flavors","North Indian, Rolls, Chinese Great for Dates, Consistent Quality, Authentic Flavors"
Talk Of The Town,"North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages",3.6,700.0,2.7,"Kamla Nagar, Agra","Good Music, Quantity, Ambiance","North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages Good Music, Quantity, Ambiance"
Kebab - E - Que,"Kebab, North Indian, Mughlai, Biryani, Desserts, Beverages",4.3,1500.0,4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra","Variety of Beer, Innovative Dishes, Efficient Service","Kebab, North Indian, Mughlai, Biryani, Desserts, Beverages Variety of Beer, Innovative Dishes, Efficient Service"
Gaurav Chinese Corner,Chinese,4.0,75.0,2.6,"Civil Lines, Agra","Cozy Ambiance, Impeccable Presentation, Diverse Menu","Chinese Cozy Ambiance, Impeccable Presentation, Diverse Menu"
Cake House,"Bakery, Fast Food, Beverages",3.6,200.0,3.8,"Kamla Nagar, Agra","Inviting Decor, Perfect Place, Satisfying Portions","Bakery, Fast Food, Beverages Inviting Decor, Perfect Place, Satisfying Portions"
Honeydew Restaurant,"North Indian, Chinese, South Indian, Street Food",4.1,200.0,4.8,"Dayal Bagh, Agra","Flavorful Creations, Good Music, Sophisticated","North Indian, Chinese, South Indian, Street Food Flavorful Creations, Good Music, Sophisticated"
Mama Mutton Chicken Bhandhar,North Indian,3.7,100.0,5.1,"Khandari, Agra","Impeccable Presentation, Authentic Flavors, Peaceful Ambience","North Indian Impeccable Presentation, Authentic Flavors, Peaceful Ambience"
Wahid Biryani,"Biryani, North Indian, Mughlai",3.6,200.0,2.2,"Tajganj, Agra","Sustainable Practices, Attentive Service, Ambiance","Biryani, North Indian, Mughlai Sustainable Practices, Attentive Service, Ambiance"
Shree Dauji Sweets,"Mithai, Street Food, Fast Food, North Indian",4.1,100.0,3.9,"Kamla Nagar, Agra","Innovative Dishes, Customizable Dishes, Authentic Flavors","Mithai, Street Food, Fast Food, North Indian Innovative Dishes, Customizable Dishes, Authentic Flavors"
Pandit Bhojnalaya,North Indian,3.4,175.0,5.2,"Khandari, Agra","Sustainable Practices, Perfect Place, Live Sports Screening","North Indian Sustainable Practices, Perfect Place, Live Sports Screening"
Mark's Cafe,"Chinese, Fast Food, Waffle, Desserts, Shake",3.4,300.0,2.6,"Civil Lines, Agra","Quantity, Exquisite Taste, Sophisticated","Chinese, Fast Food, Waffle, Desserts, Shake Quantity, Exquisite Taste, Sophisticated"
Playdium,"Fast Food, Chinese, Beverages, Shake, Desserts",3.6,250.0,4.1,"Khandari, Agra","Authentic Flavors, Live Sports Screening, Great for Dates","Fast Food, Chinese, Beverages, Shake, Desserts Authentic Flavors, Live Sports Screening, Great for Dates"
Solanki Petiz,Fast Food,3.374251,50.0,5.1,"Tajganj, Agra","Cozy Ambiance, Sustainable Practices, Local Sourcing","Fast Food Cozy Ambiance, Sustainable Practices, Local Sourcing"
Bhagat Halwai,"North Indian, Mithai, Street Food",2.9,250.0,6.8,"Sikandra, Agra","Hospitable Staff, Vintage Decor, Satisfying Portions","North Indian, Mithai, Street Food Hospitable Staff, Vintage Decor, Satisfying Portions"
Anokhe Paratha,North Indian,3.8,100.0,3.0,"Tajganj, Agra","Sophisticated, Hospitable Staff, Innovative Dishes","North Indian Sophisticated, Hospitable Staff, Innovative Dishes"
Rendezvous - Hotel Howard Plaza,"North Indian, Chinese, Continental, Mughlai, Desserts, Beverages",3.9,1000.0,2.5,"Hotel Howard Plaza, Tajganj, Agra","Customizable Dishes, Extensive Mocktail Menu, Impeccable Presentation","North Indian, Chinese, Continental, Mughlai, Desserts, Beverages Customizable Dishes, Extensive Mocktail Menu, Impeccable Presentation"
Culinary Junction By Udupi,"North Indian, South Indian, Continental, Beverages",4.2,400.0,4.3,"Tajganj, Agra","Good Bartenders, Flavorful Creations, Breakfast","North Indian, South Indian, Continental, Beverages Good Bartenders, Flavorful Creations, Breakfast"
The Bar - Trident Hotel,Finger Food,3.9,1000.0,4.3,"Trident Hotel, Tajganj, Agra","Courteous Staff, Staff, Young Crowd","Finger Food Courteous Staff, Staff, Young Crowd"
Meet N Eat,"Fast Food, Chinese, Beverages",3.8,200.0,5.8,"Dayal Bagh, Agra","Good Bartenders, Breakfast, Customizable Dishes","Fast Food, Chinese, Beverages Good Bartenders, Breakfast, Customizable Dishes"
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",3.3,200.0,5.5,"Lohamandi, Agra","Creative Cuisine, Efficient Service, Cafe","Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food Creative Cuisine, Efficient Service, Cafe"
Lights Out - Lounge & Roofpark,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian",4.1,700.0,2.5,"Civil Lines, Agra","Friendly Staff, Good Music, Good Bartenders","Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian Friendly Staff, Good Music, Good Bartenders"
Badlav Chai Point,"Fast Food, Beverages, Tea, Coffee, Burger, Shake, Sandwich",3.7,150.0,2.6,"Civil Lines, Agra","Creative Cuisine, Exquisite Taste, Ambiance","Fast Food, Beverages, Tea, Coffee, Burger, Shake, Sandwich Creative Cuisine, Exquisite Taste, Ambiance"
Bhagya Ratan Food Circle,"North Indian, South Indian, Street Food, Chinese",3.5,200.0,7.2,"Sikandra, Agra","Cozy Ambiance, Hospitable Staff, Good Bartenders","North Indian, South Indian, Street Food, Chinese Cozy Ambiance, Hospitable Staff, Good Bartenders"
Badlav Chai Point,"Tea, Coffee, Shake, Beverages, Pizza, Sandwich, Fast Food, Street Food",3.5,150.0,4.3,"Gopal Pura, Agra","Impeccable Presentation, Sophisticated, Delicious Food","Tea, Coffee, Shake, Beverages, Pizza, Sandwich, Fast Food, Street Food Impeccable Presentation, Sophisticated, Delicious Food"
Pushpak Misthan Bhandar Sweets And Snack,Mithai,3.374251,150.0,1.6,"Civil Lines, Agra","Clean Environment, Quantity, Staff","Mithai Clean Environment, Quantity, Staff"
Jenith Fast Food,"North Indian, South Indian, Continental",3.0,150.0,0.6,"Mantola, Agra","Attentive Service, Quantity, Trendy Setting","North Indian, South Indian, Continental Attentive Service, Quantity, Trendy Setting"
Gupta Ji Dhaba & Veg Briyani,North Indian,3.8,250.0,7.2,"Sikandra, Agra","Satisfying Portions, Young Crowd, Brewed Beer","North Indian Satisfying Portions, Young Crowd, Brewed Beer"
Hangout - The Lounge Bar,"Finger Food, Chinese, North Indian, Oriental, Continental, Desserts, Beverages",3.9,750.0,5.6,"Lohamandi, Agra","Staff, Sustainable Practices, Innovative Dishes","Finger Food, Chinese, North Indian, Oriental, Continental, Desserts, Beverages Staff, Sustainable Practices, Innovative Dishes"
Tiwari Bombay Style Bhel And Panipuri,Street Food,3.8,50.0,2.5,"Agra Cantt, Agra","Ambiance, Fresh Ingredients, Brewed Beer","Street Food Ambiance, Fresh Ingredients, Brewed Beer"
Silver Spoon,"North Indian, Chinese, Continental, Pizza",4.4,475.0,4.0,"Tajganj, Agra","Memorable Experience, Sophisticated, Clean Environment","North Indian, Chinese, Continental, Pizza Memorable Experience, Sophisticated, Clean Environment"
Laziz Family Restaurant,North Indian,3.1,250.0,1.9,"Mantola, Agra","Friendly Staff, Live Sports Screening, Local Sourcing","North Indian Friendly Staff, Live Sports Screening, Local Sourcing"
Khan Sahab Restaurant,"North Indian, Mughlai, Chinese, Biryani, Beverages",3.5,300.0,2.5,"Tajganj, Agra","Impeccable Presentation, Diverse Menu, Main Course","North Indian, Mughlai, Chinese, Biryani, Beverages Impeccable Presentation, Diverse Menu, Main Course"
Dandigul Food Circle,"Biryani, South Indian, Chinese, Street Food",4.0,100.0,4.6,"Khandari, Agra","Clean Environment, Satisfying Portions, Weekend Brunch","Biryani, South Indian, Chinese, Street Food Clean Environment, Satisfying Portions, Weekend Brunch"
Bansal Sweets,Mithai,3.9,125.0,3.2,"Shahganj, Agra","Satisfying Portions, Cafe, Perfect Place","Mithai Satisfying Portions, Cafe, Perfect Place"
SUMAC - Hotel Royale Regent,"North Indian, Continental, Fast Food, Oriental, Desserts, Beverages",3.9,700.0,5.4,"Tajganj, Agra","Exquisite Taste, Good Music, Trendy Setting","North Indian, Continental, Fast Food, Oriental, Desserts, Beverages Exquisite Taste, Good Music, Trendy Setting"
Chacha Ji Ka Dhaba,"North Indian, Mughlai",3.9,250.0,2.8,"Lohamandi, Agra","Great for Dates, Young Crowd, Fresh Ingredients","North Indian, Mughlai Great for Dates, Young Crowd, Fresh Ingredients"
Bamboo Cafe,"North Indian, Chinese, Street Food, Sandwich, Fast Food",3.0,250.0,3.8,"Tajganj, Agra","Extensive Mocktail Menu, Authentic Flavors, Ambience","North Indian, Chinese, Street Food, Sandwich, Fast Food Extensive Mocktail Menu, Authentic Flavors, Ambience"
Chennai Kings,"South Indian, Sandwich, Fast Food, Beverages, Desserts, Burger, Chinese",3.9,250.0,4.1,"Dayal Bagh, Agra","Perfect Place, Young Crowd, Quantity","South Indian, Sandwich, Fast Food, Beverages, Desserts, Burger, Chinese Perfect Place, Young Crowd, Quantity"
Pandit Bhojnalaya,"North Indian, South Indian, Chinese",3.8,175.0,5.2,"Khandari, Agra","Inviting Decor, Customizable Dishes, Local Sourcing","North Indian, South Indian, Chinese Inviting Decor, Customizable Dishes, Local Sourcing"
Cafe Hideout,"North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta",3.374251,300.0,5.7,"Sikandra, Agra","Attentive Service, Staff, Good Music","North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta Attentive Service, Staff, Good Music"
Winni Cakes And More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle",3.9,250.0,7.5,"Sikandra, Agra","Variety of Beer, Authentic Flavors, Great for Dates","Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle Variety of Beer, Authentic Flavors, Great for Dates"
Rolls Cavalry,"Fast Food, Rolls, Chinese, North Indian, Momos, Shake, Sichuan",4.5,100.0,3.9,"Lohamandi, Agra","Peaceful Ambience, Exquisite Taste, Quantity","Fast Food, Rolls, Chinese, North Indian, Momos, Shake, Sichuan Peaceful Ambience, Exquisite Taste, Quantity"
Pandit Ji Bhojhnalaya,North Indian,3.3,150.0,11.0,"Sikandra, Agra","Seasonal Menu, Cozy Ambiance, Friendly Staff","North Indian Seasonal Menu, Cozy Ambiance, Friendly Staff"
Desire Bakers,"Bakery, Desserts",4.0,150.0,3.2,"Kamla Nagar, Agra","Customizable Dishes, Young Crowd, Impeccable Presentation","Bakery, Desserts Customizable Dishes, Young Crowd, Impeccable Presentation"
Anna Samrat Restaurant,"South Indian, North Indian, Chinese, Ice Cream, Beverages",3.9,300.0,3.8,"Kamla Nagar, Agra","Good Bartenders, Memorable Experience, Friendly Staff","South Indian, North Indian, Chinese, Ice Cream, Beverages Good Bartenders, Memorable Experience, Friendly Staff"
New Pushpak Misthan Bhandar,"Mithai, Street Food",3.7,200.0,1.2,"Rakabganj, Agra","Inviting Decor, Authentic Flavors, Innovative Dishes","Mithai, Street Food Inviting Decor, Authentic Flavors, Innovative Dishes"
Brijwasi Sweet House,"Mithai, Desserts",3.7,200.0,5.9,"Dayal Bagh, Agra","Seasonal Menu, Good Bartenders, Young Crowd","Mithai, Desserts Seasonal Menu, Good Bartenders, Young Crowd"
Jain Bhojnalaya,North Indian,3.8,100.0,5.2,"Khandari, Agra","Hospitality, Creative Cuisine, Efficient Service","North Indian Hospitality, Creative Cuisine, Efficient Service"
Healthmafia,"North Indian, Fast Food, South Indian, Momos, Biryani",4.1,225.0,3.9,"Trans Yamuna, Agra","Customizable Dishes, Good Music, Inviting Decor","North Indian, Fast Food, South Indian, Momos, Biryani Customizable Dishes, Good Music, Inviting Decor"
Deshraj Dhaba,"Mughlai, Biryani",3.9,200.0,0.954,"Civil Lines, Agra","Impeccable Presentation, Delicious Food, Extensive Mocktail Menu","Mughlai, Biryani Impeccable Presentation, Delicious Food, Extensive Mocktail Menu"
Square 99 Scoops & Cafe,"Chinese, North Indian, Fast Food",3.9,150.0,4.5,"Shahganj, Agra","Trendy Setting, Breakfast, Weekend Brunch","Chinese, North Indian, Fast Food Trendy Setting, Breakfast, Weekend Brunch"
Apna Cafe,"Fast Food, Pizza, Street Food, Chinese, Desserts, Shake, Coffee, Beverages",3.4,200.0,2.6,"Tajganj, Agra","Extensive Mocktail Menu, Attentive Service, Flavorful Creations","Fast Food, Pizza, Street Food, Chinese, Desserts, Shake, Coffee, Beverages Extensive Mocktail Menu, Attentive Service, Flavorful Creations"
"Daawat-E-Nawab - Taj Hotel & Convention Centre, Tajganj","North Indian, Mughlai, Kebab, Biryani",4.3,1400.0,4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Sophisticated, Ambience, Consistent Quality","North Indian, Mughlai, Kebab, Biryani Sophisticated, Ambience, Consistent Quality"
Pandit Ji Shudh Shakahari Bhojnalaya,North Indian,3.7,200.0,4.6,"Dayal Bagh, Agra","Innovative Dishes, Good Bartenders, Young Crowd","North Indian Innovative Dishes, Good Bartenders, Young Crowd"
Shri Krishna Bhojanalaya,North Indian,3.3,200.0,2.7,"Civil Lines, Agra","Good Bartenders, Creative Cuisine, Great for Dates","North Indian Good Bartenders, Creative Cuisine, Great for Dates"
Royal Rolls,"Rolls, Fast Food, Beverages, Pizza, Burger",3.7,175.0,4.4,"Tajganj, Agra","Diverse Menu, Friendly Staff, Authentic Flavors","Rolls, Fast Food, Beverages, Pizza, Burger Diverse Menu, Friendly Staff, Authentic Flavors"
Hungernomia,"Burger, Fast Food, Pizza, Sandwich, Wraps, Beverages, Italian",3.9,250.0,2.5,"Civil Lines, Agra","Sustainable Practices, Customizable Dishes, Cozy Ambiance","Burger, Fast Food, Pizza, Sandwich, Wraps, Beverages, Italian Sustainable Practices, Customizable Dishes, Cozy Ambiance"
Sri Dauji Restaurant,"Mithai, Street Food",3.6,150.0,3.9,"Kamla Nagar, Agra","Exquisite Taste, Satisfying Portions, Trendy Setting","Mithai, Street Food Exquisite Taste, Satisfying Portions, Trendy Setting"
Agarwal Sweets & Dairy,"Mithai, Street Food",3.8,125.0,6.0,"Shahganj, Agra","Impeccable Presentation, Ambience, Ambiance","Mithai, Street Food Impeccable Presentation, Ambience, Ambiance"
Munna Dhaba,North Indian,3.6,250.0,3.9,"Arjun Nagar, Agra","Warm Atmosphere, Consistent Quality, Inviting Decor","North Indian Warm Atmosphere, Consistent Quality, Inviting Decor"
Spice Aroma,"North Indian, Fast Food, Beverages",3.5,150.0,4.3,"Arjun Nagar, Agra","Cozy Ambiance, Impeccable Presentation, Delicious Food","North Indian, Fast Food, Beverages Cozy Ambiance, Impeccable Presentation, Delicious Food"
Chatorelal Food Court,"South Indian, Chinese, Fast Food, Street Food, North Indian, Momos",2.7,125.0,4.0,"Agra Cantt, Agra","Sustainable Practices, Cozy Ambiance, Attentive Service","South Indian, Chinese, Fast Food, Street Food, North Indian, Momos Sustainable Practices, Cozy Ambiance, Attentive Service"
Momo Cartel,"Momos, Chinese, Shake",3.8,175.0,5.8,"Sikandra, Agra","Diverse Menu, Delicious Food, Satisfying Portions","Momos, Chinese, Shake Diverse Menu, Delicious Food, Satisfying Portions"
Shiva Bhojnalaya,North Indian,2.7,150.0,5.2,"Khandari, Agra","Cozy Ambiance, Ambience, Clean Environment","North Indian Cozy Ambiance, Ambience, Clean Environment"
Jawahar Hotel,North Indian,3.8,150.0,3.8,"Dayal Bagh, Agra","Brewed Beer, Satisfying Portions, Flavorful Creations","North Indian Brewed Beer, Satisfying Portions, Flavorful Creations"
What The Frozen,"Italian, Continental, Pasta, Healthy Food, Shake, Burger, Sandwich, Wraps",3.8,175.0,3.7,"Khandari, Agra","Fresh Ingredients, Ambiance, Quantity","Italian, Continental, Pasta, Healthy Food, Shake, Burger, Sandwich, Wraps Fresh Ingredients, Ambiance, Quantity"
New Vishal Dhaba,"Momos, Chinese, Street Food, South Indian, North Indian",3.9,225.0,3.7,"Khandari, Agra","Great for Dates, Well-priced Options, Great Service","Momos, Chinese, Street Food, South Indian, North Indian Great for Dates, Well-priced Options, Great Service"
Vada Pav King,"Fast Food, Street Food, Beverages",3.7,175.0,4.1,"Shahganj, Agra","Weekend Brunch, Good Music, Ambience","Fast Food, Street Food, Beverages Weekend Brunch, Good Music, Ambience"
Shiva Dhaba,"North Indian, Mughlai",3.8,250.0,2.0,"Civil Lines, Agra","Impeccable Presentation, Diverse Menu, Live Sports Screening","North Indian, Mughlai Impeccable Presentation, Diverse Menu, Live Sports Screening"
Dear Shoppy,"Fast Food, Sichuan",4.1,100.0,4.6,"Khandari, Agra","Breakfast, Creative Cuisine, Live Sports Screening","Fast Food, Sichuan Breakfast, Creative Cuisine, Live Sports Screening"
Baba Chicken Mutton,"Mughlai, North Indian",4.0,250.0,6.8,"Sikandra, Agra","Well-priced Options, Great for Dates, Extensive Mocktail Menu","Mughlai, North Indian Well-priced Options, Great for Dates, Extensive Mocktail Menu"
Shyam Ji Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages",3.9,250.0,3.8,"Arjun Nagar, Agra","Diverse Menu, Quantity, Sophisticated","North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages Diverse Menu, Quantity, Sophisticated"
Taste Of Tongue,"North Indian, Fast Food, Chinese, Street Food, Beverages",4.3,100.0,5.5,"Dayal Bagh, Agra","Good Music, Ambiance, Trendy Setting","North Indian, Fast Food, Chinese, Street Food, Beverages Good Music, Ambiance, Trendy Setting"
Shivam Restaurant,"Fast Food, North Indian, Chinese, Desserts",3.3,175.0,3.8,"Agra Cantt, Agra","Comfortable Seating, Seasonal Menu, Good Bartenders","Fast Food, North Indian, Chinese, Desserts Comfortable Seating, Seasonal Menu, Good Bartenders"
"Tea Lounge - Taj Hotel & Convention Centre, Tajganj","Cafe, Pizza, Beverages",3.4,550.0,4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Variety of Beer, Consistent Quality, Live Sports Screening","Cafe, Pizza, Beverages Variety of Beer, Consistent Quality, Live Sports Screening"
Dhaba 59,"North Indian, Chinese, Fast Food, Beverages",3.5,250.0,5.0,"Tajganj, Agra","Delicious Food, Young Crowd, Sustainable Practices","North Indian, Chinese, Fast Food, Beverages Delicious Food, Young Crowd, Sustainable Practices"
